user_id,startup_id,model_score,recency_score,popularity_score,diversity_score,label,recommendation_rank,recommendation_score,original_score,recommendation_method,exposure_weight
c05d5120-49e1-4088-aae0-25e8c7eeac8c,66321f60-3529-4b29-81df-910c87ab828b,0.779,0.7908792558801172,0.5,0.5,1,10.0,0.779,0.779,content_based,0.2890648263178879
df558916-942c-4ec5-99e0-99088fcb8f3f,21a6732f-34cd-4079-9cef-9f3c73e4e07c,0.811,0.7908792667907116,0.5,0.5,1,14.0,0.811,0.811,content_based,0.2559580248098155
e83117e9-30d0-4c29-aa92-894fc6bf2313,27bbe8e8-f9e2-4770-a988-dc95b4e9113a,0.92,0.9388478846704933,0.5,0.5,1,9.0,0.92,0.92,content_based,0.3010299956639812
e83117e9-30d0-4c29-aa92-894fc6bf2313,b225a976-5774-4a0c-812b-644259939ba3,0.641,0.7908792558801172,0.5,0.5,1,20.0,0.641,0.641,content_based,0.227670248696953
e83117e9-30d0-4c29-aa92-894fc6bf2313,f716c8f3-7255-4d80-8492-94d42f61751b,0.782,0.7908792712992117,0.5,0.5,1,5.0,0.782,0.782,content_based,0.38685280723454163
590f65aa-b990-4a7d-b5d2-dc64a1109613,39a842c1-7863-4e6b-9280-134dca5c3e08,0.67,0.7908792712992117,0.5,0.5,1,15.0,0.67,0.67,content_based,0.25
590f65aa-b990-4a7d-b5d2-dc64a1109613,bef3cf06-12c2-426a-b80e-9a9293dc95ab,0.749,0.7908792558801172,0.5,0.5,1,10.0,0.749,0.749,content_based,0.2890648263178879
590f65aa-b990-4a7d-b5d2-dc64a1109613,079c97ea-1ff4-40de-bdc3-d2af03ffa08f,0.686,0.7908792623420158,0.5,0.5,1,5.0,0.686,0.686,content_based,0.38685280723454163
590f65aa-b990-4a7d-b5d2-dc64a1109613,9f9eee31-01da-4375-9a5f-137e72a1a814,0.929,0.7908792623420158,0.5,0.5,1,7.0,0.929,0.929,content_based,0.3333333333333333
ba125840-21e9-47de-b839-6036e88dd3f6,a5892558-9bf5-4aad-bc40-f2716a033136,0.739,0.7908792653221538,0.5,0.5,1,5.0,0.739,0.739,content_based,0.38685280723454163
b35d9f07-3bf6-4408-9e25-17d19f3b10be,b225a976-5774-4a0c-812b-644259939ba3,0.682,0.7908792558801172,0.5,0.5,1,7.0,0.682,0.682,content_based,0.3333333333333333
b35d9f07-3bf6-4408-9e25-17d19f3b10be,1cf8800b-eb4d-485d-bc52-1a3c7a725237,0.732,0.7908792712992117,0.5,0.5,1,2.0,0.732,0.732,content_based,0.6309297535714575
b35d9f07-3bf6-4408-9e25-17d19f3b10be,fd254885-317a-478a-80a8-b01023a2105c,0.643,0.9623403443927478,0.5,0.5,1,3.0,0.643,0.643,content_based,0.5
9d7e542d-9dc3-427c-a8af-1b3dd1fa02b0,5438af59-b1ad-408b-8789-cb0cf7ffb919,0.676,0.9480092635079722,0.5,0.5,1,3.0,0.676,0.676,content_based,0.5
9d7e542d-9dc3-427c-a8af-1b3dd1fa02b0,707c1758-f211-4020-a428-808633d8f9f5,0.767,0.7908792558801172,0.5,0.5,1,18.0,0.767,0.767,content_based,0.23540891336663824
9d7e542d-9dc3-427c-a8af-1b3dd1fa02b0,9a29f3f1-bff4-4edc-b41b-619638ead416,0.835,0.9018276451174932,0.5,0.5,1,16.0,0.835,0.835,content_based,0.24465054211822604
7cc89ffa-dba3-4aca-83e1-5f3e694e2afb,89371203-0bc5-49fd-85e7-5270780bdce2,0.663,0.7908792712992117,0.5,0.5,1,17.0,0.663,0.663,content_based,0.23981246656813146
